id,param,val1
235,RegionBorn,Санкт-Петербург и Ленинградская область
235,RegionLife,Санкт-Петербург и Ленинградская область
235,education,высшее
236,age,40
236,gender,ж
236,RegionBorn,Восточнее Урала
236,RegionLife,Санкт-Петербург и Ленинградская область
236,education,высшее
237,age,40
237,gender,ж
237,RegionBorn,Восточнее Урала
237,RegionLife,Санкт-Петербург и Ленинградская область
237,education,высшее
238,age,18
238,gender,м
238,RegionBorn,Западнее Урала
238,RegionLife,Западнее Урала
238,education,студент
239,age,22
239,gender,ж
239,RegionBorn,Санкт-Петербург и Ленинградская область
239,RegionLife,Санкт-Петербург и Ленинградская область
239,education,высшее
240,age,22
240,gender,ж
240,RegionBorn,Санкт-Петербург и Ленинградская область
